id,site_name,date,lat_n,long_e,Istiblennius.enosimae,Girella.punctata,Takifugu.niphobles,Engraulis.japonicus,Siganus.fuscescens,Atherion.elymus,Enneapterygius.etheostomus,Chaenogobius.annularis,Thalassoma.cupido,Mugil.cephalus,other_fish
S001,Isumi,2017/08/28,35.20274,140.39362,0.142460495,1.206623231,1.651168632,0.587005896,0.161340802,0,0,8.30046934,0.42051592,0.041193396,18.02897641
S002,Katsuura,2017/08/28,35.14075,140.29029,10.9414593,5.129447674,14.08452326,0,1.017715116,14.75891279,0,6.486401163,0.580383721,0.682563953,22.60635466
S003,Kominato,2017/08/28,35.1194,140.18449,3.229102776,3.750483332,3.750483332,0.152669444,8.621502774,12.06088611,11.45596944,0.947702777,0.475291666,0.161311111,7.875438883
S004,Emi,2017/08/28,35.05605,140.07296,0.043200631,0.170068308,0,0,4.034064016,0.242251641,1.023690909,0.25154798,0.967366036,0,2.811322097
S005,Chikura,2017/08/28,34.94277,139.96443,19.07465833,1.878314394,0,0.429758333,8.595166666,0.868532576,8.526044696,3.284796212,4.808484848,0.417737121,7.84384091
S006,Mera,2017/08/28,34.91084,139.82427,3.068918839,0.234452174,0.138266667,0,9.495313039,1.238388405,0.710871014,0.452372464,3.611465216,0.111214493,6.624776808
S007,Banda,2017/08/28,34.9758,139.76752,3.47306291,2.111519249,5.880709858,0.067594366,21.89413709,2.15336338,0.122313615,1.976330516,1.236011267,0.679162441,18.36635493
S008,Taibusa,2017/08/29,35.03524,139.8159,0.143636552,4.707125559,0.446484704,0.3184232,1.81708891,4.836917624,0.093450287,0,1.114481198,0.093450287,17.35233381
S009,Nishigasaki,2017/08/29,35.1016,139.82471,7.753375915,0.356215707,2.190347644,0.096001396,12.42207539,1.200017452,9.42582129,0.975172077,0.318320419,0,10.67383944
S010,Myogane,2017/08/29,35.1548,139.81796,0,8.9344375,1.83621875,1.61696875,16.17516875,9.1975375,0.3617625,0.30695,0.40013125,0,48.98593125
S011,Tsuhama,2017/08/29,35.27181,139.84696,0,2.217988606,10.31636662,6.051623772,0.044319482,0.08460992,0,1.315482797,0,3.398498436,10.35262802